datacenter,from_country_code,song_id,votes,calculated_at
dc-central,CZ,13,658,2026-05-12T10:28:22
dc-central,CZ,14,321,2026-05-12T10:28:22
dc-central,CZ,15,196,2026-05-12T10:28:22
dc-central,CZ,16,185,2026-05-12T10:28:22
dc-central,CZ,17,193,2026-05-12T10:28:22
dc-central,CZ,18,178,2026-05-12T10:28:22
dc-central,CZ,20,187,2026-05-12T10:28:22
dc-central,DE,1,261,2026-05-12T10:28:22
dc-central,DE,2,288,2026-05-12T10:28:22
dc-central,DE,3,262,2026-05-12T10:28:22
dc-central,DE,4,160,2026-05-12T10:28:22
dc-central,DE,6,160,2026-05-12T10:28:22
dc-central,DE,7,581,2026-05-12T10:28:22
dc-central,DE,8,156,2026-05-12T10:28:22
dc-central,DE,9,169,2026-05-12T10:28:22
dc-central,DE,10,146,2026-05-12T10:28:22
dc-central,DE,11,157,2026-05-12T10:28:22
dc-central,DE,12,156,2026-05-12T10:28:22
dc-central,DE,13,531,2026-05-12T10:28:22
dc-central,DE,14,248,2026-05-12T10:28:22
dc-central,DE,15,134,2026-05-12T10:28:22
dc-central,DE,16,560,2026-05-12T10:28:22
dc-central,DE,17,539,2026-05-12T10:28:22
dc-central,DE,18,175,2026-05-12T10:28:22
dc-central,DE,19,137,2026-05-12T10:28:22
dc-central,DE,20,153,2026-05-12T10:28:22
dc-central,PL,1,309,2026-05-12T10:28:22
dc-central,PL,2,277,2026-05-12T10:28:22
dc-central,PL,3,305,2026-05-12T10:28:22
dc-central,PL,4,201,2026-05-12T10:28:22
dc-central,PL,5,595,2026-05-12T10:28:22
dc-central,PL,6,192,2026-05-12T10:28:22
dc-central,PL,7,186,2026-05-12T10:28:22
dc-central,PL,8,159,2026-05-12T10:28:22
dc-central,PL,9,177,2026-05-12T10:28:22
dc-central,PL,10,197,2026-05-12T10:28:22
dc-central,PL,11,157,2026-05-12T10:28:22
dc-central,PL,12,153,2026-05-12T10:28:22
dc-central,PL,14,695,2026-05-12T10:28:22
dc-central,PL,15,149,2026-05-12T10:28:22
dc-central,PL,16,202,2026-05-12T10:28:22
dc-central,PL,17,160,2026-05-12T10:28:22
dc-central,PL,18,167,2026-05-12T10:28:22
dc-central,PL,19,587,2026-05-12T10:28:22
dc-central,PL,20,144,2026-05-12T10:28:22
dc-north,DK,1,800,2026-05-12T10:28:22
dc-north,DK,2,294,2026-05-12T10:28:22
dc-north,DK,3,271,2026-05-12T10:28:22
dc-north,DK,4,187,2026-05-12T10:28:22
dc-north,DK,5,178,2026-05-12T10:28:22
dc-north,DK,6,192,2026-05-12T10:28:22
dc-north,DK,7,141,2026-05-12T10:28:22
dc-north,DK,8,660,2026-05-12T10:28:22
dc-north,DK,10,187,2026-05-12T10:28:22
dc-north,DK,11,208,2026-05-12T10:28:22
dc-north,DK,12,150,2026-05-12T10:28:22
dc-north,DK,13,183,2026-05-12T10:28:22
dc-north,DK,14,323,2026-05-12T10:28:22
dc-north,DK,15,183,2026-05-12T10:28:22
dc-north,DK,16,167,2026-05-12T10:28:22
dc-north,DK,17,190,2026-05-12T10:28:22
dc-north,DK,18,195,2026-05-12T10:28:22
dc-north,DK,19,198,2026-05-12T10:28:22
dc-north,DK,20,200,2026-05-12T10:28:22
dc-north,EE,1,385,2026-05-12T10:28:22
dc-north,EE,2,346,2026-05-12T10:28:22
dc-north,EE,3,339,2026-05-12T10:28:22
dc-north,EE,4,215,2026-05-12T10:28:22
dc-north,EE,5,200,2026-05-12T10:28:22
dc-north,EE,6,188,2026-05-12T10:28:22
dc-north,EE,7,189,2026-05-12T10:28:22
dc-north,EE,8,163,2026-05-12T10:28:22
dc-north,EE,9,201,2026-05-12T10:28:22
dc-north,EE,10,679,2026-05-12T10:28:22
dc-north,EE,11,200,2026-05-12T10:28:22
dc-north,EE,12,213,2026-05-12T10:28:22
dc-north,EE,13,213,2026-05-12T10:28:22
dc-north,EE,14,346,2026-05-12T10:28:22
dc-north,EE,15,200,2026-05-12T10:28:22
dc-north,EE,16,213,2026-05-12T10:28:22
dc-north,EE,17,190,2026-05-12T10:28:22
dc-north,EE,18,227,2026-05-12T10:28:22
dc-north,EE,19,207,2026-05-12T10:28:22
dc-north,FI,1,822,2026-05-12T10:28:22
dc-north,FI,2,338,2026-05-12T10:28:22
dc-north,FI,3,328,2026-05-12T10:28:22
dc-north,FI,4,206,2026-05-12T10:28:22
dc-north,FI,5,192,2026-05-12T10:28:22
dc-north,FI,6,168,2026-05-12T10:28:22
dc-north,FI,7,188,2026-05-12T10:28:22
dc-north,FI,8,180,2026-05-12T10:28:22
dc-north,FI,9,173,2026-05-12T10:28:22
dc-north,FI,11,167,2026-05-12T10:28:22
dc-north,FI,12,201,2026-05-12T10:28:22
dc-north,FI,13,209,2026-05-12T10:28:22
dc-north,FI,14,316,2026-05-12T10:28:22
dc-north,FI,15,183,2026-05-12T10:28:22
dc-north,FI,16,193,2026-05-12T10:28:22
dc-north,FI,17,194,2026-05-12T10:28:22
dc-north,FI,18,175,2026-05-12T10:28:22
dc-north,FI,19,191,2026-05-12T10:28:22
dc-north,FI,20,618,2026-05-12T10:28:22
dc-north,NO,1,779,2026-05-12T10:28:22
dc-north,NO,2,334,2026-05-12T10:28:22
dc-north,NO,3,343,2026-05-12T10:28:22
dc-north,NO,4,181,2026-05-12T10:28:22
dc-north,NO,5,202,2026-05-12T10:28:22
dc-north,NO,6,177,2026-05-12T10:28:22
dc-north,NO,7,167,2026-05-12T10:28:22
dc-north,NO,9,641,2026-05-12T10:28:22
dc-north,NO,10,191,2026-05-12T10:28:22
dc-north,NO,11,180,2026-05-12T10:28:22
dc-north,NO,12,184,2026-05-12T10:28:22
dc-north,NO,13,188,2026-05-12T10:28:22
dc-north,NO,14,305,2026-05-12T10:28:22
dc-north,NO,15,201,2026-05-12T10:28:22
dc-north,NO,16,221,2026-05-12T10:28:22
dc-north,NO,17,181,2026-05-12T10:28:22
dc-north,NO,18,181,2026-05-12T10:28:22
dc-north,NO,19,180,2026-05-12T10:28:22
dc-north,NO,20,206,2026-05-12T10:28:22
dc-north,SE,2,293,2026-05-12T10:28:22
dc-north,SE,3,306,2026-05-12T10:28:22
dc-north,SE,4,180,2026-05-12T10:28:22
dc-north,SE,5,173,2026-05-12T10:28:22
dc-north,SE,6,185,2026-05-12T10:28:22
dc-north,SE,7,175,2026-05-12T10:28:22
dc-north,SE,8,590,2026-05-12T10:28:22
dc-north,SE,9,632,2026-05-12T10:28:22
dc-north,SE,10,634,2026-05-12T10:28:22
dc-north,SE,11,160,2026-05-12T10:28:22
dc-north,SE,12,187,2026-05-12T10:28:22
dc-north,SE,13,164,2026-05-12T10:28:22
dc-north,SE,14,290,2026-05-12T10:28:22
dc-north,SE,15,198,2026-05-12T10:28:22
dc-north,SE,16,157,2026-05-12T10:28:22
dc-north,SE,17,186,2026-05-12T10:28:22
dc-north,SE,18,166,2026-05-12T10:28:22
dc-north,SE,19,179,2026-05-12T10:28:22
dc-north,SE,20,203,2026-05-12T10:28:22
dc-south,ES,1,314,2026-05-12T10:28:22
dc-south,ES,2,799,2026-05-12T10:28:22
dc-south,ES,3,321,2026-05-12T10:28:22
dc-south,ES,5,191,2026-05-12T10:28:22
dc-south,ES,6,168,2026-05-12T10:28:22
dc-south,ES,7,196,2026-05-12T10:28:22
dc-south,ES,8,200,2026-05-12T10:28:22
dc-south,ES,9,175,2026-05-12T10:28:22
dc-south,ES,10,166,2026-05-12T10:28:22
dc-south,ES,11,646,2026-05-12T10:28:22
dc-south,ES,12,169,2026-05-12T10:28:22
dc-south,ES,13,227,2026-05-12T10:28:22
dc-south,ES,14,315,2026-05-12T10:28:22
dc-south,ES,15,212,2026-05-12T10:28:22
dc-south,ES,16,203,2026-05-12T10:28:22
dc-south,ES,17,195,2026-05-12T10:28:22
dc-south,ES,18,179,2026-05-12T10:28:22
dc-south,ES,19,156,2026-05-12T10:28:22
dc-south,ES,20,190,2026-05-12T10:28:22
dc-south,GR,1,416,2026-05-12T10:28:22
dc-south,GR,2,399,2026-05-12T10:28:22
dc-south,GR,3,366,2026-05-12T10:28:22
dc-south,GR,4,209,2026-05-12T10:28:22
dc-south,GR,5,185,2026-05-12T10:28:22
dc-south,GR,6,218,2026-05-12T10:28:22
dc-south,GR,7,245,2026-05-12T10:28:22
dc-south,GR,8,223,2026-05-12T10:28:22
dc-south,GR,9,206,2026-05-12T10:28:22
dc-south,GR,10,205,2026-05-12T10:28:22
dc-south,GR,11,236,2026-05-12T10:28:22
dc-south,GR,13,255,2026-05-12T10:28:22
dc-south,GR,14,384,2026-05-12T10:28:22
dc-south,GR,15,211,2026-05-12T10:28:22
dc-south,GR,16,238,2026-05-12T10:28:22
dc-south,GR,17,208,2026-05-12T10:28:22
dc-south,GR,18,259,2026-05-12T10:28:22
dc-south,GR,19,210,2026-05-12T10:28:22
dc-south,GR,20,243,2026-05-12T10:28:22
dc-south,IT,1,382,2026-05-12T10:28:22
dc-south,IT,2,375,2026-05-12T10:28:22
dc-south,IT,4,257,2026-05-12T10:28:22
dc-south,IT,5,233,2026-05-12T10:28:22
dc-south,IT,6,255,2026-05-12T10:28:22
dc-south,IT,7,271,2026-05-12T10:28:22
dc-south,IT,8,223,2026-05-12T10:28:22
dc-south,IT,9,240,2026-05-12T10:28:22
dc-south,IT,10,251,2026-05-12T10:28:22
dc-south,IT,11,249,2026-05-12T10:28:22
dc-south,IT,12,229,2026-05-12T10:28:22
dc-south,IT,13,239,2026-05-12T10:28:22
dc-south,IT,14,391,2026-05-12T10:28:22
dc-south,IT,15,223,2026-05-12T10:28:22
dc-south,IT,16,244,2026-05-12T10:28:22
dc-south,IT,17,236,2026-05-12T10:28:22
dc-south,IT,18,235,2026-05-12T10:28:22
dc-south,IT,19,242,2026-05-12T10:28:22
dc-south,IT,20,275,2026-05-12T10:28:22
dc-south,PT,1,353,2026-05-12T10:28:22
dc-south,PT,2,324,2026-05-12T10:28:22
dc-south,PT,3,343,2026-05-12T10:28:22
dc-south,PT,4,704,2026-05-12T10:28:22
dc-south,PT,5,192,2026-05-12T10:28:22
dc-south,PT,6,210,2026-05-12T10:28:22
dc-south,PT,7,196,2026-05-12T10:28:22
dc-south,PT,8,189,2026-05-12T10:28:22
dc-south,PT,9,212,2026-05-12T10:28:22
dc-south,PT,10,185,2026-05-12T10:28:22
dc-south,PT,12,200,2026-05-12T10:28:22
dc-south,PT,13,190,2026-05-12T10:28:22
dc-south,PT,14,344,2026-05-12T10:28:22
dc-south,PT,15,198,2026-05-12T10:28:22
dc-south,PT,16,210,2026-05-12T10:28:22
dc-south,PT,17,231,2026-05-12T10:28:22
dc-south,PT,18,200,2026-05-12T10:28:22
dc-south,PT,19,220,2026-05-12T10:28:22
dc-south,PT,20,214,2026-05-12T10:28:22
dc-south,UA,1,398,2026-05-12T10:28:22
dc-south,UA,2,417,2026-05-12T10:28:22
dc-south,UA,3,360,2026-05-12T10:28:22
dc-south,UA,4,207,2026-05-12T10:28:22
dc-south,UA,5,229,2026-05-12T10:28:22
dc-south,UA,6,193,2026-05-12T10:28:22
dc-south,UA,7,211,2026-05-12T10:28:22
dc-south,UA,8,238,2026-05-12T10:28:22
dc-south,UA,9,195,2026-05-12T10:28:22
dc-south,UA,10,226,2026-05-12T10:28:22
dc-south,UA,11,211,2026-05-12T10:28:22
dc-south,UA,12,202,2026-05-12T10:28:22
dc-south,UA,13,753,2026-05-12T10:28:22
dc-south,UA,15,226,2026-05-12T10:28:22
dc-south,UA,16,228,2026-05-12T10:28:22
dc-south,UA,17,201,2026-05-12T10:28:22
dc-south,UA,18,231,2026-05-12T10:28:22
dc-south,UA,19,239,2026-05-12T10:28:22
dc-south,UA,20,212,2026-05-12T10:28:22
dc-west,BE,1,307,2026-05-12T10:28:22
dc-west,BE,2,763,2026-05-12T10:28:22
dc-west,BE,3,340,2026-05-12T10:28:22
dc-west,BE,4,160,2026-05-12T10:28:22
dc-west,BE,5,198,2026-05-12T10:28:22
dc-west,BE,7,683,2026-05-12T10:28:22
dc-west,BE,8,190,2026-05-12T10:28:22
dc-west,BE,9,179,2026-05-12T10:28:22
dc-west,BE,10,181,2026-05-12T10:28:22
dc-west,BE,11,203,2026-05-12T10:28:22
dc-west,BE,12,159,2026-05-12T10:28:22
dc-west,BE,13,203,2026-05-12T10:28:22
dc-west,BE,14,293,2026-05-12T10:28:22
dc-west,BE,15,186,2026-05-12T10:28:22
dc-west,BE,16,166,2026-05-12T10:28:22
dc-west,BE,17,186,2026-05-12T10:28:22
dc-west,BE,18,170,2026-05-12T10:28:22
dc-west,BE,19,217,2026-05-12T10:28:22
dc-west,BE,20,203,2026-05-12T10:28:22
dc-west,FR,1,319,2026-05-12T10:28:22
dc-west,FR,3,333,2026-05-12T10:28:22
dc-west,FR,4,186,2026-05-12T10:28:22
dc-west,FR,5,176,2026-05-12T10:28:22
dc-west,FR,6,724,2026-05-12T10:28:22
dc-west,FR,7,202,2026-05-12T10:28:22
dc-west,FR,8,176,2026-05-12T10:28:22
dc-west,FR,9,194,2026-05-12T10:28:22
dc-west,FR,10,185,2026-05-12T10:28:22
dc-west,FR,11,185,2026-05-12T10:28:22
dc-west,FR,12,197,2026-05-12T10:28:22
dc-west,FR,13,188,2026-05-12T10:28:22
dc-west,FR,14,317,2026-05-12T10:28:22
dc-west,FR,15,169,2026-05-12T10:28:22
dc-west,FR,16,656,2026-05-12T10:28:22
dc-west,FR,17,200,2026-05-12T10:28:22
dc-west,FR,18,180,2026-05-12T10:28:22
dc-west,FR,19,179,2026-05-12T10:28:22
dc-west,FR,20,189,2026-05-12T10:28:22
dc-west,GB,1,329,2026-05-12T10:28:22
dc-west,GB,2,371,2026-05-12T10:28:22
dc-west,GB,3,353,2026-05-12T10:28:22
dc-west,GB,4,192,2026-05-12T10:28:22
dc-west,GB,5,189,2026-05-12T10:28:22
dc-west,GB,6,182,2026-05-12T10:28:22
dc-west,GB,7,199,2026-05-12T10:28:22
dc-west,GB,8,230,2026-05-12T10:28:22
dc-west,GB,9,206,2026-05-12T10:28:22
dc-west,GB,10,215,2026-05-12T10:28:22
dc-west,GB,11,214,2026-05-12T10:28:22
dc-west,GB,12,205,2026-05-12T10:28:22
dc-west,GB,13,196,2026-05-12T10:28:22
dc-west,GB,14,346,2026-05-12T10:28:22
dc-west,GB,16,186,2026-05-12T10:28:22
dc-west,GB,17,209,2026-05-12T10:28:22
dc-west,GB,18,645,2026-05-12T10:28:22
dc-west,GB,19,219,2026-05-12T10:28:22
dc-west,GB,20,200,2026-05-12T10:28:22
dc-west,IE,1,315,2026-05-12T10:28:22
dc-west,IE,2,363,2026-05-12T10:28:22
dc-west,IE,3,346,2026-05-12T10:28:22
dc-west,IE,4,221,2026-05-12T10:28:22
dc-west,IE,5,210,2026-05-12T10:28:22
dc-west,IE,6,210,2026-05-12T10:28:22
dc-west,IE,7,203,2026-05-12T10:28:22
dc-west,IE,8,205,2026-05-12T10:28:22
dc-west,IE,9,210,2026-05-12T10:28:22
dc-west,IE,10,191,2026-05-12T10:28:22
dc-west,IE,11,206,2026-05-12T10:28:22
dc-west,IE,12,192,2026-05-12T10:28:22
dc-west,IE,13,209,2026-05-12T10:28:22
dc-west,IE,14,337,2026-05-12T10:28:22
dc-west,IE,15,753,2026-05-12T10:28:22
dc-west,IE,16,209,2026-05-12T10:28:22
dc-west,IE,17,212,2026-05-12T10:28:22
dc-west,IE,19,211,2026-05-12T10:28:22
dc-west,IE,20,189,2026-05-12T10:28:22
dc-west,NL,1,324,2026-05-12T10:28:22
dc-west,NL,2,296,2026-05-12T10:28:22
dc-west,NL,3,330,2026-05-12T10:28:22
dc-west,NL,4,193,2026-05-12T10:28:22
dc-west,NL,5,610,2026-05-12T10:28:22
dc-west,NL,6,645,2026-05-12T10:28:22
dc-west,NL,8,169,2026-05-12T10:28:22
dc-west,NL,9,187,2026-05-12T10:28:22
dc-west,NL,10,186,2026-05-12T10:28:22
dc-west,NL,11,180,2026-05-12T10:28:22
dc-west,NL,12,156,2026-05-12T10:28:22
dc-west,NL,13,210,2026-05-12T10:28:22
dc-west,NL,14,335,2026-05-12T10:28:22
dc-west,NL,15,195,2026-05-12T10:28:22
dc-west,NL,16,173,2026-05-12T10:28:22
dc-west,NL,17,173,2026-05-12T10:28:22
dc-west,NL,18,178,2026-05-12T10:28:22
dc-west,NL,19,190,2026-05-12T10:28:22
dc-west,NL,20,187,2026-05-12T10:28:22
